ordinal	build	shoulderHip	waist	styles	silhouette	palette	evidence
310	2	?	?	tailored,romantic	layered	dark	Long jacket conceals waist and upper hips.
311	2	?	?	goth,romantic	waist-defined	dark	Corset, flared ruffles and wide sleeves construct proportions.
312	2	?	?	goth,romantic	waist-defined	dark	Corseted waist and flared short skirt conceal underlying contours.
313	?	?	?	maximalist,experimental	loose	multicolor	Large sleeves, accessories and wide bottoms conceal body boundaries.
314	1.5	?	?	punk	loose	dark	Oversized graphic top covers waist and hips; legs visible.
315	1.5	?	?	punk	loose	dark	Long loose sweatshirt hides upper-body proportions.
316	1.5	?	?	punk	layered	dark	Layered leather jacket hides shoulders and waist.
317	1.5	?	?	punk	layered	dark	Jacket and layered long tops conceal hip junction.
318	?	?	?	maximalist,experimental	layered	multicolor	Dense accessories and layers conceal torso and hips.
319	?	?	?	maximalist,experimental	layered	multicolor	Heavy accessory coverage prevents reliable body outline judgment.
320	1.5	?	?	industrial,maximalist	layered	multicolor	Puffed jacket masks torso despite narrow lower trousers.
321	1.5	?	?	industrial,maximalist	layered	multicolor	Metallic puffer and bag obscure local proportions.
322	1.5	?	?	punk,tailored	layered	dark	Jacket and belt shape waist; loose torn trousers.
323	1.5	?	?	punk,tailored	layered	dark	Structured jacket and belt obscure natural waist contour.
324	1.5	?	?	romantic,preppy	waist-defined	pastel	Layered blouse and short pleated skirt hide hips and waist.
325	1.5	?	?	romantic,preppy	waist-defined	pastel	Small exposed limbs support build; constructed layered waist.
326	1.5	?	?	romantic	waist-defined	neutral	Loose blouse, belt and long skirt conceal local body relationships.
327	1.5	?	?	romantic	waist-defined	neutral	Belted blouse and flowing skirt provide garment-defined outline.
328	?	?	?	kimono,goth	layered	colorful	Wrapped robe and oversized sleeves conceal body contour.
329	?	?	?	kimono,goth	layered	colorful	Obi, robe and wide sleeves hide local proportions.
330	2	?	?	goth,romantic	waist-defined	dark	Structured corset and long skirt obscure independent proportions.
331	2	?	?	goth,romantic	waist-defined	dark	Corseted waist and layered sleeves define outer silhouette.
332	1.5	1	0	punk	fitted	dark	Close sleeveless tee and skinny trousers show straight torso.
333	1.5	1	0	punk	fitted	dark	Bare shoulders and fitted trousers expose narrow hips.
334	1.5	?	?	romantic	waist-defined	pastel	Ruffled blouse and long skirt obscure waist and hip shape.
335	1.5	?	?	romantic	waist-defined	pastel	Layered waist and full long skirt hide local comparisons.
336	1.5	?	?	maximalist,sport	mixed	multicolor	Jacket and lifted arms obscure torso above shorts.
337	1.5	?	?	maximalist,sport	mixed	multicolor	Loose jacket and tee hide local shape above close shorts.
338	1.5	?	?	maximalist,preppy	layered	multicolor	Raised arm, accessories and pleated skirt obscure torso.
339	1.5	?	?	maximalist,preppy	layered	multicolor	Dense accessories and pleated skirt conceal waist and hips.
340	2	?	?	kimono,romantic	waist-defined	dark	Wide draped sleeves and belt construct waist silhouette.
341	2	?	?	kimono,romantic	waist-defined	dark	Long skirt and wide sleeves hide local body relationships.
342	1.5	?	?	experimental	mixed	muted	Asymmetric wrapped dress conceals underlying waist and hip outline.
343	1.5	?	?	experimental	mixed	muted	Gathered sculptural dress supplies body outline.
344	1.5	?	?	maximalist,workwear	loose	colorful	Wide bib overalls and puff sleeves hide local proportions.
345	1.5	?	?	maximalist,workwear	loose	colorful	Bib and wide trouser construction conceal torso shape.
346	?	?	?	kimono	layered	muted	Wrapped kimono and obi obscure independent body contours.
347	?	?	?	kimono	layered	muted	Wide sleeves and wrapped torso conceal shape.
348	?	?	?	kimono,goth	layered	neutral	Obi and layered kimono obscure underlying proportions.
349	?	?	?	kimono,goth	layered	neutral	Wrapped torso and full sleeves prevent body comparison.
350	1.5	?	?	goth,romantic	waist-defined	neutral	Ruffled blouse, corset and layered skirt construct silhouette.
351	1.5	?	?	goth,romantic	waist-defined	neutral	Structured waist and skirt conceal local shape.
352	1.5	?	?	punk,preppy	layered	dark	Jacket and pleated skirt obscure shoulders, waist and hips.
353	1.5	?	?	punk,preppy	layered	dark	Boxy jacket and skirt leave local proportions unresolved.
354	1.5	?	?	punk,preppy	layered	colorful	Jacket and pleated short skirt obscure torso contour.
355	1.5	?	?	punk,preppy	layered	colorful	Raised arms and layered top hide waist and hip relationship.
356	2	?	?	maximalist,experimental	layered	multicolor	Cape-like top and accessories conceal torso; legs visible.
357	2	?	?	maximalist,experimental	layered	multicolor	Wide loose upper layer and bags obscure body boundaries.
358	?	?	?	kimono,romantic	layered	pastel	Wrapped robe and fur collar conceal local contours.
359	?	?	?	kimono,romantic	layered	pastel	Obi and long straight robe hide independent body shape.
360	1.5	?	?	tailored,goth	waist-defined	dark	Belted jacket and short skirt construct local silhouette.
361	1.5	?	?	tailored,goth	waist-defined	dark	Structured jacket obscures shoulders and waist.
362	1.5	1	0	punk,everyday	mixed	muted	Close sleeveless top and upper trousers show straight narrow torso.
363	1.5	1	0	punk,everyday	mixed	muted	Bare shoulders wider than upper hips; slight waist indentation only.
364	1.5	?	?	tailored,maximalist	waist-defined	colorful	Belted oversized jacket defines shoulders and waist.
365	1.5	?	?	tailored,maximalist	waist-defined	colorful	Suit jacket and belt conceal natural torso shape.
366	1.5	0	1	punk,experimental	layered	dark	Close sleeveless top and inner shorts visible through sheer skirt.
367	1.5	0	1	punk,experimental	layered	dark	Close upper torso and inner shorts support local comparison.
368	1.5	?	?	tailored,maximalist	mixed	colorful	Structured jacket and wide trousers determine silhouette.
369	1.5	?	?	tailored,maximalist	mixed	colorful	Jacket conceals waist and shoulder extent.
370	1.5	?	?	sport,maximalist	waist-defined	colorful	Belted tracksuit and long top hide natural waist and hips.
371	1.5	?	?	sport,maximalist	waist-defined	colorful	Belt creates waist; upper trouser boundaries obscured.
372	1.5	?	?	punk,experimental	layered	colorful	Jacket and wide gathered trousers obscure local proportions.
373	1.5	?	?	punk,experimental	layered	colorful	Layered tee and jacket hide waist above voluminous trousers.
374	?	?	?	experimental	loose	muted	Sculptural jacket and balloon trousers hide body entirely.
375	?	?	?	experimental	loose	muted	Oversized sculptural layers prevent confident build judgment.
376	1.5	?	?	experimental,goth	loose	dark	Long shiny outerwear and leg layers hide torso outline.
377	1.5	?	?	romantic	waist-defined	neutral	Belted coat hides waist and hips; narrow exposed lower legs.
378	1.5	?	?	romantic	waist-defined	neutral	Structured coat and accessories obscure local proportions.
379	1.5	?	?	goth,tailored	waist-defined	dark	Jacket, belt and ruched skirt conceal underlying local shape.
380	1.5	?	?	goth,tailored	waist-defined	dark	Structured shoulders and draped skirt prevent independent labels.
381	1.5	?	?	punk,experimental	layered	multicolor	Layered shirt and wide plaid trousers obscure torso.
382	1.5	?	?	punk,experimental	layered	multicolor	Long shirt and accessories conceal waist and hips.
383	?	?	?	experimental,maximalist	loose	neutral	Full white layers and accessories conceal body outline.
384	?	?	?	experimental,maximalist	loose	neutral	Long loose layered garment prevents confident build classification.
385	1.5	?	?	goth,industrial	layered	dark	Long structured coat hides underlying torso and hips.
386	1.5	1	0	punk,industrial	mixed	dark	Close top and upper trousers show narrow straight torso.
387	1.5	?	0	punk,industrial	mixed	dark	Side pose with straight upper contour; frontal balance unavailable.
388	1.5	?	?	punk,sport	loose	colorful	Oversized jersey and wide skirt conceal local proportions.
389	1.5	1	0	punk,everyday	mixed	colorful	Tee and upper trousers reveal shoulders broader than hips.
390	1.5	?	?	punk,industrial	loose	neutral	Loose jersey and metallic cargo trousers conceal body boundaries.
391	1.5	1	0	punk,industrial	mixed	muted	Sleeveless fitted top and upper trousers show straight torso.
392	1.5	1	0	punk,industrial	mixed	neutral	Close tee reveals narrow torso above very wide trousers.
393	1.5	0	1	workwear,maximalist	mixed	muted	Fitted upper jumpsuit follows waist and hip contour.
394	3	0	1	everyday,maximalist	mixed	multicolor	Polo and upper patterned trousers reveal broad balanced outline.
395	1.5	0	1	workwear	mixed	dark	Close upper coverall follows torso and hips.
396	3	0	1	workwear	mixed	dark	Enlarged coverall view shows comparable shoulder and hip breadth with moderate indentation.
397	1.5	0	1	tailored,preppy	mixed	colorful	Close vest and upper trousers reveal balanced narrow contour.
398	1.5	0	1	workwear,tailored	mixed	muted	Jumpsuit upper section follows torso and hips.
399	3	0	1	workwear,tailored	mixed	muted	Close upper jumpsuit shows broad balanced proportions.
400	1.5	?	?	tailored,maximalist	fitted	neutral	Tailored jacket constructs shoulder and waist outline.
401	3	-1	1	tailored,everyday	mixed	multicolor	Tucked shirt and upper trousers show broad hips.
402	1.5	0	1	tailored,preppy	fitted	muted	Close vest and trousers follow torso and hip outline.
403	1.5	0	1	workwear,tailored	mixed	muted	Close upper jumpsuit defines moderate waist indentation.
404	1.5	0	1	everyday,tailored	mixed	dark	Fitted tee and upper trousers reveal balanced torso.
405	3	0	?	workwear	mixed	dark	Broad exposed shoulders and hip outline; bib obscures waist.
406	1.5	0	1	everyday,tailored	mixed	neutral	Close crop top and upper trousers show moderate indentation.
407	2	?	?	everyday,maximalist	loose	multicolor	Loose long shirt dress hides waist and hips.
408	2	?	?	everyday	loose	neutral	Long straight shirt dress conceals local body relationships.
409	3	?	?	everyday	waist-defined	neutral	Belted shirt dress creates waist; skirt obscures hips.
410	3	?	1	everyday,workwear	fitted	muted	Close tank and trousers reveal waist in side view.
411	1.5	0	0	everyday,tailored	mixed	neutral	Sleeveless shirt and close upper trousers show fairly straight torso.
